componentId,eonShortName,title,level,parentId,category,sourceNodeIndex,sourceNodeName,sourceOccurrenceId,sourceProductId,sourcePath,absorbedGeometryNodeCount,triangles,bounds,center,outwardDirection
C01,CMX1100VMachine,CMX 1100 V Vertical Machining Center,1,,Machine Assembly,0,CMX1100V_CMXV1221036,,#1356,CMX1100V_CMXV1221036,0,0,"{""min"":[-3.1849005699157713,-1.3520689010620113,-0.8523372185230277],""max"":[1.3639916896820068,1.901000022888186,2.0860050107425767]}","[-0.9104544401168823,0.2744655609130874,0.6168338961097746]","[0,0,1]"
C02,MachineBase,Machine Base,2,C01,Machine Structure,2,CMXV1221036_BASE,#32,#1351,CMX1100V_CMXV1221036 > CMXV1221036_ASM > CMXV1221036_BASE,0,3566,"{""min"":[-1.9180000305175782,-0.18750000000000042,-0.8500000011920947],""max"":[0.8180000305175781,1.6339999437332167,0.8369999456405628]}","[-0.55,0.7232499718666081,-0.006500027775765971]","[0.4248350266018112,0.5289415691594569,-0.7346672829161306]"
C03,XAxisSystem,X-Axis System,2,C01,Linear Motion,3,CMXV1221036_X-AXIS,#33,#1354,CMX1100V_CMXV1221036 > CMXV1221036_ASM > CMXV1221036_X-AXIS,1,648,"{""min"":[-0.699999988079071,-0.2800000011920926,-0.3409999978542329],""max"":[0.699999988079071,0.36500000953674333,-7.152557102152457e-9]}","[0,0.042500004172325356,-0.170500002503395]","[0.7427321003295326,-0.18923326370955754,-0.64229261170117]"
C04,YAxisSystem,Y-Axis System,2,C01,Linear Motion,6,CMXV1221036_Y-AXIS,#34,#1350,CMX1100V_CMXV1221036 > CMXV1221036_ASM > CMXV1221036_Y-AXIS,0,934,"{""min"":[-0.8519999861717225,0.4015000032186523,0.6719999837875363],""max"":[-0.23299999833107,1.409999998092653,1.5380000400543208]}","[-0.5424999922513962,0.9057500006556527,1.1050000119209287]","[0.4187207363612634,0.71838209048922,0.5555178818052748]"
C05,ZAxisSystem,Z-Axis System,2,C01,Linear Motion,7,CMXV1221036_Z-AXIS,#35,#1349,CMX1100V_CMXV1221036 > CMXV1221036_ASM > CMXV1221036_Z-AXIS,0,7249,"{""min"":[-0.7089999943971634,0.027252407550813484,0.639679947037132],""max"":[-0.26500000357627873,0.4340000020265617,2.0860050107425767]}","[-0.4869999989867211,0.2306262047886876,1.3628424788898543]","[0.4930010642282629,-0.051039373130030694,0.8685303293842385]"
C06,SpindleAssembly,Spindle Assembly,2,C01,Spindle System,8,CMXV1221036_SPINDLE,#36,#1348,CMX1100V_CMXV1221036 > CMXV1221036_ASM > CMXV1221036_SPINDLE,0,854,"{""min"":[-0.6043611384928227,0.2255064563751234,0.6300000335163191],""max"":[-0.49551543518900876,0.334493534445764,0.9671800519413066]}","[-0.5499382868409157,0.27999999541044374,0.7985900427288128]","[0.8928541958477418,0.013706578797390399,0.45013721758454156]"
C07,ToolChangerHousing,Tool Changer Housing,2,C01,Tool-Changing System,9,CMXV1221036_TC_CASE,#37,#1353,CMX1100V_CMXV1221036 > CMXV1221036_ASM > CMXV1221036_TC_CASE,1,18250,"{""min"":[-1.8989999771118165,-0.6529999971389755,0.40000002861022854],""max"":[-0.7482000023126603,1.8059999942779559,1.3689998912811288]}","[-1.3235999897122384,0.5764999985694902,0.8844999599456786]","[-0.7153467982516072,0.5229618669518424,0.463454252268137]"
C08,OperatorControlConsole,Operator Control Console,2,C01,Machine Controls,12,CMXV1221036_CONTROLLER,#38,#1352,CMX1100V_CMXV1221036 > CMXV1221036_ASM > CMXV1221036_CONTROLLER,1,186746,"{""min"":[0.7085364580154419,-1.3520689010620113,-0.6791109234839666],""max"":[1.3639916896820068,-0.4755096137523658,0.7949842739105237]}","[1.0362640738487243,-0.9137892574071885,0.057936675213278555]","[0.829026956881051,-0.5060286163429935,-0.2380112270598586]"
C10,XAxisMeasurement,X-Axis Measurement System,3,C03,Position Measurement,4,CMXV1221036_MEASURING,#31,#1347,CMX1100V_CMXV1221036 > CMXV1221036_ASM > CMXV1221036_X-AXIS > CMXV1221036_MEASURING,0,7686,"{""min"":[-0.7365000247955322,0.021999999880790863,-0.11000002145767251],""max"":[-0.43470001220703125,0.27575001120567355,0.1069999861717219]}","[-0.5856000185012817,0.14887500554323221,-0.0015000176429753043]","[0.4577502429046671,-0.8712902776845638,0.17696883096487287]"
C11,RotaryToolChanger,Rotary Tool Changer,3,C07,Tool-Changing System,10,CMXV1221036_TC_ROT,#30,#1346,CMX1100V_CMXV1221036 > CMXV1221036_ASM > CMXV1221036_TC_CASE > CMXV1221036_TC_ROT,0,1116,"{""min"":[-0.8862141847610474,-0.54379630088806,0.6003000068664546],""max"":[-0.7461858123540879,0.07379630208015583,0.899099998474121]}","[-0.8161999985575676,-0.23499999940395205,0.7497000026702878]","[0.17621733105651627,0.2484053833285947,0.9524926339708313]"
