id,type,componentId,title,category,confidence,anchor,evidence,overview,function,relationships,inspection,safety
step:77d67cdf8ca533d37387abff7c1753ad6be486d591bf2f6cde6e917da186b783:generated:component-label:#52697,component-label,C01,Base and Column System,Machine Structure,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.07499998807907104,2.116499900817871,-0.14772933721542358],""direction"":[0.07579578859509854,0.7647044339219471,-0.6399079052264955],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 2627893_GRUNDMASCHINE at occurrence path DMU50_4843_ASM > 2627893_GRUNDMASCHINE"",""publisher"":""Supplied DMU50 STEP assembly and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]},{""kind"":""technical-reference"",""title"":""Linear Guides: structure, function, contamination, and lubrication"",""publisher"":""THK Co., Ltd."",""url"":""https://www.thk.com/opm/jp/en/linear/thklinearguide/"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection""]}]",Base and Column System is the main structural group that carries the upright column and the machine’s linear axes.,It provides stiffness and guided support for the moving machine members during machining.,"It joins the machine bed to the machine column, X-axis carriage, Y-axis carriage, and spray unit.","Inspect the column faces, carriage clearances, guideway covers, and mounting surfaces from an authorized position. Record any change and use exact maintenance information before corrective work.",Keep clear of moving axes. Any service needs authorized isolation and the installed machine instructions.
step:77d67cdf8ca533d37387abff7c1753ad6be486d591bf2f6cde6e917da186b783:generated:component-label:#62045,component-label,C02,Machine Bed,Machine Structure,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.07500001788139343,-0.04899999871850014,-0.11150000989437103],""direction"":[0.05437733876221834,-0.9023332274136082,-0.4275954299738021],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""technical-reference"",""title"":""29 CFR 1910.212 General requirements for all machines"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.212"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 2572244_BETT at occurrence path DMU50_4843_ASM > 2572244_BETT"",""publisher"":""Supplied DMU50 STEP assembly and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",Machine Bed is the low structural foundation beneath the work area.,It supports the machine’s major loads and helps establish a stable reference for the table and column.,It supports the base and column system and carries the swivel rotary table above its bed body.,"Inspect the machine bed surfaces, support interfaces, chips or fluid accumulation, and signs of damage from an authorized position. Record any change and use exact maintenance information before corrective work.",Do not work beneath or climb on the bed. Follow site lifting and isolation rules for service.
step:77d67cdf8ca533d37387abff7c1753ad6be486d591bf2f6cde6e917da186b783:generated:component-label:#95111,component-label,C03,Swivel Rotary Table,Rotary Workholding System,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0,-0.4299953877925873,0.4239580072462559],""direction"":[0.31148417145873125,-0.9487021585273809,0.0542385963697058],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""manufacturer"",""title"":""DMU 50 3rd Generation product page (current-generation context only)"",""publisher"":""DMG MORI"",""url"":""https://en.dmgmori.com/products/machines/milling/5-axis-milling/dmu/dmu-50"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""relationships""]},{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 3016797_SRT_SIMULTAN at occurrence path DMU50_4843_ASM > 3016797_SRT_SIMULTAN"",""publisher"":""Supplied DMU50 STEP assembly and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",Swivel Rotary Table is the tilting and rotating workholding group at the center of the machining area.,It positions a mounted workpiece so machining can approach it from different orientations.,"It rests on the machine bed and includes the rotary drive housing, table cradle, and table plate.","Inspect the table plate condition, cradle interfaces, drive-housing covers, and travel clearance from an authorized position. Record any change and use exact maintenance information before corrective work.",Keep hands clear of all rotary motion. Service requires authorized isolation and machine-specific instructions.
step:77d67cdf8ca533d37387abff7c1753ad6be486d591bf2f6cde6e917da186b783:generated:component-label:#108649,component-label,C04,SK40 Spindle Assembly,Spindle System,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.1245500035583973,-0.06400550901889801,0],""direction"":[0.5671485736775618,-0.7507803625392286,0.3386315735441273],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""Steep taper tool interface"",""publisher"":""OTT-JAKOB Spanntechnik GmbH"",""url"":""https://www.ott-jakob.de/en/steep_taper/"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection""]},{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 2850201_SPINDEL_SK40_14K at occurrence path DMU50_4843_ASM > 2850201_SPINDEL_SK40_14K"",""publisher"":""Supplied DMU50 STEP assembly and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",SK40 Spindle Assembly is the tool-rotating group used for milling operations.,It holds and drives the cutting-tool interface while the surrounding machine axes position it over the workpiece.,It connects the milling spindle body and spindle mounting flange to the column-side motion structure.,"Inspect the spindle nose area, mounting flange interface, housing condition, and nearby clearances from an authorized position. Record any change and use exact maintenance information before corrective work.",Treat the spindle as a rotating-energy hazard. Do not inspect it closely until motion and energy are safely controlled.
step:77d67cdf8ca533d37387abff7c1753ad6be486d591bf2f6cde6e917da186b783:generated:component-label:#114448,component-label,C05,Tool Magazine Mechanism,Tool-Changing System,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.6592000000000001,0.08375000506043384,-0.12199999999999989],""direction"":[0.07255897994350352,0.6331521121153388,0.7706189702787256],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""manufacturer"",""title"":""DMU 50 3rd Generation product page (current-generation context only)"",""publisher"":""DMG MORI"",""url"":""https://en.dmgmori.com/products/machines/milling/5-axis-milling/dmu/dmu-50"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""relationships""]},{""kind"":""technical-reference"",""title"":""Mill Operator's Manual: generic automatic tool-changer overview"",""publisher"":""Haas Automation, Inc."",""url"":""https://www.haascnc.com/content/dam/haascnc/en/service/manual/operator/english_mill_interactive_manual_print_version_2023.pdf"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection"",""relationships""]},{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 2612912_WZM_30-60 at occurrence path DMU50_4843_ASM > 2612912_WZM_30-60"",""publisher"":""Supplied DMU50 STEP assembly and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",Tool Magazine Mechanism is the mechanism that stores and exchanges cutting tools.,It indexes tools and presents them to the machine so tool changes can occur between machining operations.,It connects the magazine drive gear and rotary tool gripper near the spindle and enclosure.,"Inspect the gear teeth, gripper fingers, tool pockets, and obstruction-free travel space from an authorized position. Record any change and use exact maintenance information before corrective work.",Keep clear during tool changes. Only trained personnel should approach after the machine is secured.
step:77d67cdf8ca533d37387abff7c1753ad6be486d591bf2f6cde6e917da186b783:generated:component-label:#127235,component-label,C06,Guideway Protection,Machine Protection,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.1249999850988388,2.1105000972747803,0.18274999409914017],""direction"":[0.019203565657115843,0.9530641220973383,-0.30215890229626313],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""CNC Machine Protection: bellows, way covers, and shields"",""publisher"":""Hennig, Inc."",""url"":""https://hennigworldwide.com/machine-protection"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection""]},{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 3032368_FUEHRUNGSB-ABD at occurrence path DMU50_4843_ASM > 3032368_FUEHRUNGSB-ABD"",""publisher"":""Supplied DMU50 STEP assembly and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",Guideway Protection is the paired flexible covers that shield the machine guideways.,It helps keep chips and coolant away from the guided motion surfaces while the axes travel.,It surrounds the left and right guideway bellows beside the moving carriage structure.,"Inspect the guideway protection bellows folds, cover edges, trapped debris, and full-travel clearance from an authorized position. Record any change and use exact maintenance information before corrective work.",Do not reach into moving guideway areas. Use authorized isolation before cleaning or inspection.
step:77d67cdf8ca533d37387abff7c1753ad6be486d591bf2f6cde6e917da186b783:generated:component-label:#240133,component-label,C07,Machine Enclosure,Operator Protection,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.0585000216960907,2.009999990463257,0.22450000047683716],""direction"":[0.32804106422812274,0.6880973594795112,-0.6472334077111632],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""technical-reference"",""title"":""29 CFR 1910.212 General requirements for all machines"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.212"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4843_KABINE_30-60WZ at occurrence path DMU50_4843_ASM > 4843_KABINE_30-60WZ"",""publisher"":""Supplied DMU50 STEP assembly and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",Machine Enclosure is the outer protective housing around the machining space.,"It separates the operator area from chips, coolant, and normal machine motion while providing controlled access.","It contains the main working enclosure, tool-magazine enclosure, catch pan, and rear service housing.","Inspect the machine enclosure panel seams, viewing areas, door fit, and signs of fluid escape from an authorized position. Record any change and use exact maintenance information before corrective work.",Keep guards closed during operation. Open panels only under the installed machine instructions and site safety rules.
step:77d67cdf8ca533d37387abff7c1753ad6be486d591bf2f6cde6e917da186b783:generated:component-label:#243609,component-label,C08,Tool-Changer Covers,Machine Protection,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-1.4550000429153442,1.084999993443489,-0.10399997234344482],""direction"":[-0.889793961716013,0.04800548266319734,-0.45383056235559566],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""CNC Machine Protection: bellows, way covers, and shields"",""publisher"":""Hennig, Inc."",""url"":""https://hennigworldwide.com/machine-protection"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection""]},{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""technical-reference"",""title"":""29 CFR 1910.212 General requirements for all machines"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.212"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 3020755_KPLNG_30WZ at occurrence path DMU50_4843_ASM > 3020755_KPLNG_30WZ"",""publisher"":""Supplied DMU50 STEP assembly and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",Tool-Changer Covers is the protective cover package around the tool-changing region.,It shields nearby tool-changing parts from contact and helps contain chips around that area during normal machine operation.,It sits beside the tool magazine mechanism and the machine enclosure.,"Inspect the tool-changer covers, fastener locations, clearance to moving parts, and panel distortion from an authorized position. Record any change and use exact maintenance information before corrective work.",Do not remove covers while the machine can move. Use authorized isolation before any access.
step:77d67cdf8ca533d37387abff7c1753ad6be486d591bf2f6cde6e917da186b783:generated:component-label:#247824,component-label,C09,Roof Assembly,Operator Protection,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.02950000762939453,1.9429999589920044,0.462499993853271],""direction"":[0.1255861160002515,0.9874959417256658,0.09528847014886792],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""CNC Machine Protection: bellows, way covers, and shields"",""publisher"":""Hennig, Inc."",""url"":""https://hennigworldwide.com/machine-protection"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection""]},{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""technical-reference"",""title"":""29 CFR 1910.212 General requirements for all machines"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.212"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 3072621_DACH at occurrence path DMU50_4843_ASM > 3072621_DACH"",""publisher"":""Supplied DMU50 STEP assembly and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",Roof Assembly is the top protective structure over the machine enclosure.,It closes the upper portion of the enclosure and helps keep chips and coolant within the guarded area.,It connects to the machine enclosure above the work area and tool-changing side.,"Inspect the roof seams, support rails, panel condition, and fluid traces near joints from an authorized position. Record any change and use exact maintenance information before corrective work.",Avoid climbing on the roof assembly. Service access requires approved support and site procedures.
step:77d67cdf8ca533d37387abff7c1753ad6be486d591bf2f6cde6e917da186b783:generated:component-label:#288552,component-label,C10,Coolant Support Assembly,Coolant Delivery,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[1.1749000549316406,0.6031962130218744,0.9371900260448456],""direction"":[0.8101313375134928,-0.35866184544115326,0.46373364834066727],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""Metalworking Fluids"",""publisher"":""National Institute for Occupational Safety and Health"",""url"":""https://archive.cdc.gov/www_cdc_gov/niosh/topics/metalworking/default.html"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection"",""safety""]},{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 2590726_KS-BEH_ZEI at occurrence path DMU50_4843_ASM > 2590726_KS-BEH_ZEI"",""publisher"":""Supplied DMU50 STEP assembly and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",Coolant Support Assembly is the support group around the coolant vessel and related support members.,It positions and protects coolant-related equipment near the machine while supporting visible vessel and joint parts.,"It includes the pivoting support arm, coolant vessel shells, elbow joint, and coolant support profile.","Inspect the shell seams, support-arm interfaces, elbow joint condition, and residue around joints from an authorized position. Record any change and use exact maintenance information before corrective work.",Coolant systems may contain fluid or pressure. Follow site controls and machine instructions before opening or loosening parts.
