componentId,eonShortName,title,level,parentId,category,sourceNodeIndex,sourceNodeName,sourceOccurrenceId,sourceProductId,sourcePath,absorbedGeometryNodeCount,triangles,bounds,center,outwardDirection
C01,C01_Base_Column,Base and Column System,1,,Machine Structure,1,2627893_GRUNDMASCHINE,#52697,#52493,DMU50_4843_ASM > 2627893_GRUNDMASCHINE,13,1500,"{""min"":[-0.687,1.2135000028610228,-0.8280000000000001],""max"":[0.5369999771118164,2.1165,0.5325413224366142]}","[-0.07500001144409185,1.6650000014305113,-0.14772933878169292]","[0.07579578859509854,0.7647044339219471,-0.6399079052264955]"
C02,C02_Machine_Bed,Machine Bed,1,,Machine Structure,42,2572244_BETT,#62045,#61818,DMU50_4843_ASM > 2572244_BETT,10,6880,"{""min"":[-0.7350000014007092,-0.049,-0.6165],""max"":[0.5850000014007092,0.04,0.3935]}","[-0.07500000000000001,-0.0045000000000000005,-0.11150000000000002]","[0.05437733876221834,-0.9023332274136082,-0.4275954299738021]"
C03,C03_Rotary_Table,Swivel Rotary Table,1,,Rotary Workholding System,59,3016797_SRT_SIMULTAN,#95111,#94902,DMU50_4843_ASM > 3016797_SRT_SIMULTAN,6,3046,"{""min"":[-0.20399999618530262,0.3600046145915986,0.05049999999999998],""max"":[0.20399999618530268,0.8694999971985817,0.7584160048843268]}","[2.7755575615628914e-17,0.6147523058950901,0.4044580024421634]","[0.31148417145873125,-0.9487021585273809,0.0542385963697058]"
C04,C04_SK40_Spindle,SK40 Spindle Assembly,1,,Spindle System,77,2850201_SPINDEL_SK40_14K,#108649,#108474,DMU50_4843_ASM > 2850201_SPINDEL_SK40_14K,3,1548,"{""min"":[-0.11400551070094754,1.0819999992400409,0.3559944892990525],""max"":[0.01400551070094748,1.1178000000864268,0.4840055107009475]}","[-0.05000000000000003,1.0998999996632337,0.42]","[0.7507803625392289,0.5671485736775617,0.3386315735441275]"
C05,C05_Tool_Magazine,Tool Magazine Mechanism,1,,Tool-Changing System,85,2612912_WZM_30-60,#114448,#114247,DMU50_4843_ASM > 2612912_WZM_30-60,0,0,"{""min"":[-0.7599999999999999,1.208299996483326,0.08189999999999985],""max"":[-0.574999997615814,1.7300000136375429,0.7788999999999998]}","[-0.6674999988079069,1.4691500050604345,0.43039999999999984]","[-0.7706189702787257,0.6331521121153391,0.0725589799435037]"
C06,C06_Way_Protection,Guideway Protection,1,,Machine Protection,88,3032368_FUEHRUNGSB-ABD,#127235,#127034,DMU50_4843_ASM > 3032368_FUEHRUNGSB-ABD,7,970,"{""min"":[-0.725,1.204499999627471,-0.24300001192092896],""max"":[0.47500004768371584,2.1105,0.6084999935626983]}","[-0.12499997615814207,1.6574999998137354,0.1827499908208847]","[0.019203565657115843,0.9530641220973383,-0.30215890229626313]"
C07,C07_Enclosure,Machine Enclosure,1,,Operator Protection,101,4843_KABINE_30-60WZ,#240133,#239932,DMU50_4843_ASM > 4843_KABINE_30-60WZ,4,442,"{""min"":[-0.7720000147819519,0.3892056345939636,-0.5690000057220459],""max"":[0.6549999713897705,2.009999990463257,1.0180000066757202]}","[-0.0585000216960907,1.1996028125286102,0.22450000047683716]","[0.32804106422812274,0.6880973594795112,-0.6472334077111632]"
C08,C08_ATC_Covers,Tool-Changer Covers,1,,Machine Protection,208,3020755_KPLNG_30WZ,#243609,#243408,DMU50_4843_ASM > 3020755_KPLNG_30WZ,5,148,"{""min"":[-1.4550000429153442,0.16,-1.096],""max"":[-0.72,2.010000000094995,0.888]}","[-1.087500021457672,1.0850000000474975,-0.10400000000000004]","[-0.889793961716013,0.04800548266319734,-0.45383056235559566]"
C09,C09_Roof,Roof Assembly,1,,Operator Protection,214,3072621_DACH,#247824,#247623,DMU50_4843_ASM > 3072621_DACH,4,136,"{""min"":[-0.7160000085830689,1.8240000002384187,-0.024999999716877937],""max"":[0.657,1.9429999980330468,0.9500000023841858]}","[-0.029500004291534432,1.8834999991357328,0.46250000133365393]","[0.1255861160002515,0.9874959417256658,0.09528847014886792]"
C10,C10_Coolant_Support,Coolant Support Assembly,1,,Coolant Delivery,225,2590726_KS-BEH_ZEI,#288552,#288181,DMU50_4843_ASM > 2590726_KS-BEH_ZEI,7,8048,"{""min"":[0.495,0.020000000149011612,0.45000000067055224],""max"":[1.1748999991059303,1.186392377633058,1.4243801233280582]}","[0.8349499995529652,0.6031961888910349,0.9371900619993052]","[0.8101313375134928,-0.35866184544115326,0.46373364834066727]"
C11,C11_Pipe_Support_Module,Pipe Support and Auxiliary Module,1,,Machine Auxiliary,249,3755454,#433077,#432640,DMU50_4843_ASM > 3755454,1,110,"{""min"":[-0.505000006556511,0.638000003695488,0.025000000357627866],""max"":[-0.32599999956786635,0.8230000000260771,0.2559999991059303]}","[-0.4155000030621887,0.7305000018607826,0.14049999973177907]","[-0.5835914623628704,-0.6367534829925087,-0.503950401283773]"
C12,C12_Machine_Column,Machine Column,2,C01,Machine Structure,5,2608307_STAENDER,#22355,#22110,DMU50_4843_ASM > 2627893_GRUNDMASCHINE > 2608307_STAENDER,0,4914,"{""min"":[-0.6700000166893005,0.38999998569488525,-0.5565000176429749],""max"":[0.5,1.277999997138977,0.02500000037252903]}","[-0.08500000834465027,0.8339999914169312,-0.2657500086352229]","[0.07748157829411312,-0.29441713838892164,-0.9525309200482323]"
C13,C13_X_Carriage,X-Axis Carriage,2,C01,Linear Motion,15,2527663_X_SCHLITTEN,#31715,#31494,DMU50_4843_ASM > 2627893_GRUNDMASCHINE > 2527663_X_SCHLITTEN,0,824,"{""min"":[-0.2950000047683717,1.1879999980926514,-0.8449999809265134],""max"":[0.19500000476837154,1.467500005722046,0.05000000000000006]}","[-0.05000000000000007,1.3277500019073487,-0.3974999904632567]","[0.10470927666001949,0.351549582033339,-0.9302950385514911]"
C14,C14_Y_Carriage,Y-Axis Carriage,2,C01,Linear Motion,27,2716987_Y_SCHLITTEN,#41260,#41037,DMU50_4843_ASM > 2627893_GRUNDMASCHINE > 2716987_Y_SCHLITTEN,0,1108,"{""min"":[-0.23170000612735747,1.4374999998100102,-0.8829999904632568],""max"":[0.1570000022649765,2.05749999666214,0.2780000005364418]}","[-0.03735000193119048,1.747499998236075,-0.3024999949634075]","[0.10092828814905078,0.718807977532959,-0.6878434211986616]"
C15,C15_Coolant_Nozzles,Coolant Nozzle Array,2,C01,Coolant Delivery,29,2280059_SPRITZDUESE,#51492,#51345,DMU50_4843_ASM > 2627893_GRUNDMASCHINE > 2280059_SPRITZDUESE,11,2620,"{""min"":[-0.15000000149011616,1.2108381844062701,0.5569999986874312],""max"":[0.05000000149011616,1.2614409522032286,0.6043303651621628]}","[-0.05,1.2361395683047494,0.580665181924797]","[0.29403404868373434,0.6795788297176354,0.6720986478295137]"
C16,C16_Rotary_Drive_Hsg,Rotary Drive Housing,2,C03,Rotary Motion,61,2596436_ANTRIEBS-GEH,#67602,#67343,DMU50_4843_ASM > 3016797_SRT_SIMULTAN > 2596436_ANTRIEBS-GEH,0,4136,"{""min"":[-0.3799999952316284,0.4350000107288361,-0.20300000691413878],""max"":[0.3799999952316284,1.144999989271164,0.030499996900558476]}","[0,0.79,-0.08625000500679014]","[0.252770780497822,-0.4478718507502741,-0.857623307654384]"
