id,type,componentId,title,category,confidence,anchor,evidence,overview,function,relationships,inspection,safety
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#129475,component-label,C01,Guideway and Slide Assembly,Linear Motion,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.3815000057220459,-0.9900000095367432,-0.3577766716480255],""direction"":[-0.20990824401888458,-0.9499933182528699,-0.2311952083582393],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4246343 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4246343"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]},{""kind"":""manufacturer"",""title"":""Global Standard Model HSR LM Guide"",""publisher"":""THK Co., Ltd."",""url"":""https://www.thk.com/us/en/products/lm_guide/full_ball/hsr/"",""retrievedOn"":""2026-08-05"",""supports"":[""function"",""inspection""]}]",The Guideway and Slide Assembly is a distinct modeled linear motion element. Its shape and location help learners recognize this part of the machine.,It supports guided movement between adjoining machine structures.,"It includes Primary Guideway Assembly, Slide Support Assembly, Guideway Interface Assembly.","Inspect the guideway and slide assembly for running surfaces, straight visual alignment, and travel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#146174,component-label,C02,Live-Center Support Assembly,Work Support,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[1.2135000228881836,-0.25702610425651073,-0.0406559482216835],""direction"":[0.8623749525066239,-0.29241632931270833,0.4132821453202155],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4061476 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4061476"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Live-Center Support Assembly is a distinct modeled work support element. Its shape and location help learners recognize this part of the machine.,It supports the modeled work-side location without claiming load or speed capability.,It includes Live Center.,"Inspect the live-center support assembly for contact surfaces, seating faces, and working clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2427157,component-label,C03,12-Station Tool Turret Assembly,Tooling,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[1.1635000705718994,0.3061772435903549,-0.3076409474015236],""direction"":[0.8289317137208034,0.5593492558229125,-0.0007899355961167337],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4218037 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4218037"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]","The 12-Station Tool Turret Assembly is the machine’s indexed tool carrier. It combines the circular VDI30 turret head, supporting module, slide carriage, encoder feedback hardware, and two heavy-duty electrical connector assemblies.",It rotates a selected station toward the cutting position and supports the tool holders while the carriage locates the turret relative to the work area. No indexing accuracy or tooling rating is inferred.,The turret slide carriage supports the assembly; the SME20 module provides position feedback; the two connector assemblies carry services into the moving group; and the turret cover forms its neighboring guard.,"Inspect the 12-station tool turret assembly for station faces, mounting interfaces, and nearby clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2434014,component-label,C04,Tool Turret Cover Assembly,Machine Protection,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.5627500228583813,0.718999981880188,-0.35055597871541977],""direction"":[0.39673404410026025,0.9090445844368602,-0.12743642241474376],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4061844 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4061844"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Tool Turret Cover Assembly is a distinct modeled machine protection element. Its shape and location help learners recognize this part of the machine.,It forms part of the protective outer envelope around adjacent machine elements.,It sits alongside the machine’s other major assemblies and provides a recognizable reference in the overall layout.,"Inspect the tool turret cover assembly for panel seams, protective edges, and overlap clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2457797,component-label,C05,Filtration Support Assembly,Fluid Conditioning,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.8199999928474426,-0.0350000262260437,-1.0189000070095062],""direction"":[-0.7328423729580928,0.03198361299999275,-0.6796463086757835],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4037047 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4037047"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Filtration Support Assembly is a distinct modeled fluid conditioning element. Its shape and location help learners recognize this part of the machine.,"It holds the modeled filtration equipment without claiming medium, rating, or replacement interval.",It includes Filtration Unit.,"Inspect the filtration support assembly for housing seams, connection points, and nearby clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2554040,component-label,C06,Z-Axis Sliding Guard Assembly,Machine Protection,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[1.5560016632080078,-0.009784072637557983,-0.3670909609645605],""direction"":[0.9687849818453659,0.1734124452634562,-0.17715468601937467],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4247587 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4247587"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Z-Axis Sliding Guard Assembly is a distinct modeled machine protection element. Its shape and location help learners recognize this part of the machine.,It forms part of the protective outer envelope around adjacent machine elements.,"It includes X-Axis Wiper, Left Z-Axis Sliding Guard, Right Z-Axis Sliding Guard.","Inspect the z-axis sliding guard assembly for panel seams, protective edges, and overlap clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2594509,component-label,C07,Rail-Side Support Assembly,Machine Structure,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[1.1610000133514404,-0.4402729719877243,-0.07305827550590038],""direction"":[0.7664628508953757,-0.5435442842570397,0.34219045756542565],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4061823 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4061823"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Rail-Side Support Assembly is a distinct modeled machine structure element. Its shape and location help learners recognize this part of the machine.,It provides a substantial support path for adjacent machine elements.,"It includes Rail-End Support, Rail Segment Assembly.","Inspect the rail-side support assembly for major faces, structural junctions, and panel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2947282,component-label,C08,Main Machine Frame Assembly,Machine Structure,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.4274999797344208,0.8465696573257446,-0.3230179250240326],""direction"":[1.4682564357301787e-8,0.9895726837767947,-0.14403438312705602],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4250109 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4250109"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Main Machine Frame Assembly is a distinct modeled machine structure element. Its shape and location help learners recognize this part of the machine.,It provides a substantial support path for adjacent machine elements.,It includes Machine Frame Subassembly.,"Inspect the main machine frame assembly for major faces, structural junctions, and panel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#3289306,component-label,C09,Chuck-Flushing Assembly,Fluid Delivery,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.0689999982714653,0.24000000953674316,0.00009999983012676239],""direction"":[-0.7307118665362823,0.48373782099736756,0.48172387177695614],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4065686 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4065686"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Chuck-Flushing Assembly is a distinct modeled fluid delivery element. Its shape and location help learners recognize this part of the machine.,It groups the modeled route around the flushing area without claiming pressure or flow values.,"It includes Chuck-Flushing Extension, Machine Cabin Body.","Inspect the chuck-flushing assembly for routing, connection points, and enclosure clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#3292602,component-label,C10,Tool Measurement Plate,Tool Measurement,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.008000000379979614,0,0.023000000044703484],""direction"":[-0.6801392484396168,0.25286094211783067,0.6880929782255276],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4250415 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4250415"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Tool Measurement Plate is a distinct modeled tool measurement element. Its shape and location help learners recognize this part of the machine.,It provides a modeled reference surface associated with tool measurement.,It sits alongside the machine’s other major assemblies and provides a recognizable reference in the overall layout.,"Inspect the tool measurement plate for plate faces, mounting contact, and tool clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
