componentId,eonShortName,title,level,parentId,category,sourceNodeIndex,sourceNodeName,sourceOccurrenceId,sourceProductId,sourcePath,absorbedGeometryNodeCount,triangles,bounds,center,outwardDirection
C01,C01_Guideway_Slide_Group,Guideway and Slide Assembly,1,,Linear Motion,2,4246343,#129475,#129031,SA0138_ASM > 4246339_ASM_1 > 4246343,0,0,"{""min"":[-0.5579999465942382,-0.9899999999287725,-0.8784000481414795],""max"":[1.3210000019073487,0.4366384446620941,0.16284668496376198]}","[0.3815000276565552,-0.2766807776333392,-0.3577766815888588]","[-0.20990824401888458,-0.9499933182528699,-0.2311952083582393]"
C02,C02_Live_Center_Group,Live-Center Support Assembly,1,,Work Support,85,4061476,#146174,#145733,SA0138_ASM > 4246339_ASM_1 > 4061476,2,8378,"{""min"":[0.7534999880790711,-0.5675522015928522,-0.2183942952940675],""max"":[1.2134999964237214,0.05350000038743019,0.13708240351072817]}","[0.9834999922513963,-0.257026100602711,-0.04065594589166967]","[0.8623749525066239,-0.29241632931270833,0.4132821453202155]"
C03,C03_Fluid_Aux_Group,12-Station Tool Turret Assembly,1,,Tooling,90,4218037,#2427157,#2426716,SA0138_ASM > 4246339_ASM_1 > 4218037,77,63758,"{""min"":[0.802,0.13222896681749988,-0.48931789258110003],""max"":[1.163500017881247,0.480125508977544,-0.1259640040978205]}","[0.9827500089406235,0.30617723789752194,-0.30764094833946026]","[0.8289317137208034,0.5593492558229125,-0.0007899355961167337]"
C04,C04_4061844_Support,Tool Turret Cover Assembly,1,,Machine Protection,959,4061844,#2434014,#2433573,SA0138_ASM > 4246339_ASM_1 > 4061844,2,190,"{""min"":[-0.06299999999999994,-0.2361903041601181,-0.5855000019073486],""max"":[1.1885000050067902,0.718999981880188,-0.1156119552890057]}","[0.5627500025033951,0.24140483886003494,-0.35055597859817716]","[0.39673404410026025,0.9090445844368602,-0.12743642241474376]"
C05,C05_Filter_Support,Filtration Support Assembly,1,,Fluid Conditioning,963,4037047,#2457797,#2457356,SA0138_ASM > 4246339_ASM_1 > 4037047,2,88,"{""min"":[-0.819999989271164,-0.8400000071525574,-1.2063999999403954],""max"":[0.13999998927116392,0.7700000071525573,-0.8313999996423722]}","[-0.3400000000000001,-0.03500000000000003,-1.0188999997913837]","[-0.7328423729580928,0.03198361299999275,-0.6796463086757835]"
C06,C06_Wiper_Cover_Group,Z-Axis Sliding Guard Assembly,1,,Machine Protection,974,4247587,#2554040,#2553529,SA0138_ASM > 4246339_ASM_1 > 4247587,34,11136,"{""min"":[-0.045,-0.7581411530394514,-0.7817065511535888],""max"":[1.5560016223143105,0.7385730321906931,0.047524650135293556]}","[0.7555008111571553,-0.009784060424379126,-0.36709095050914764]","[0.9687849818453659,0.1734124452634562,-0.17715468601937467]"
C07,C07_4061823_Rail_Group,Rail-Side Support Assembly,1,,Machine Structure,1064,4061823,#2594509,#2594068,SA0138_ASM > 4246339_ASM_1 > 4061823,4,88,"{""min"":[0.7425,-0.5901796059568335,-0.19291287180622219],""max"":[1.1610000002980234,-0.29036632852765465,0.04679632677893]}","[0.9517500001490118,-0.4402729672422441,-0.07305827251364609]","[0.7664628508953757,-0.5435442842570397,0.34219045756542565]"
C08,C08_Main_Frame_Group,Main Machine Frame Assembly,1,,Machine Structure,1093,4250109,#2947282,#2946841,SA0138_ASM > 4246339_ASM_1 > 4250109,23,2962,"{""min"":[-0.8350000000949949,-0.765,-1.2064000000000001],""max"":[1.6899999952316285,0.8465696525210011,0.5603641999609059]}","[0.4274999975683168,0.04078482626050056,-0.3230179000195471]","[1.4682564357301787e-8,0.9895726837767947,-0.14403438312705602]"
C09,C09_Chuck_Wash_Group,Chuck-Flushing Assembly,1,,Fluid Delivery,1935,4065686,#3289306,#3288865,SA0138_ASM > 4246339_ASM_1 > 4065686,9,5052,"{""min"":[-0.06899999845027924,0.22614359367638825,-0.011900000104308129],""max"":[-0.00800000025331974,0.2538564063236117,0.012100000104308128]}","[-0.038499999351799485,0.24,0.0000999999999999994]","[-0.7307118665362823,0.48373782099736756,0.48172387177695614]"
C10,C10_4250415_Member,Tool Measurement Plate,1,,Tool Measurement,1961,4250415,#3292602,#3291333,SA0138_ASM > 4246339_ASM_1 > 4250415,0,444,"{""min"":[-0.036000000000000004,-0.3385980840994009,0.07449369746979913],""max"":[-0.019999999240040783,-0.21061175284819916,0.2024800287210009]}","[-0.027999999620020394,-0.27460491847380003,0.1384868630954]","[-0.6801392484396167,-0.3077555241213809,0.6653548978588549]"
C11,C11_Arm_Garage_Group,Handling Arm and Garage Assembly,1,,Mechanical Handling,1962,4250394,#3301390,#3300949,SA0138_ASM > 4246339_ASM_1 > 4250394,0,0,"{""min"":[-0.08700000140070915,-0.3395312137891704,0.044850525903701505],""max"":[0.09300000140070916,0.30819249310897245,0.30225645784416877]}","[0.0030000000000000027,-0.01566936034009897,0.17355349187393515]","[-0.6597231941001823,0.08209913089291297,0.7470107361162097]"
C12,C12_ROS250_Assembly,ROS250 Auxiliary Assembly,1,,Machine Auxiliary,1969,8865780016_ROS250_ASM,#3424247,#3423465,SA0138_ASM > 8865780016_ROS250_ASM,0,80542,"{""min"":[-0.017999995231628416,-0.1435000002384186,-0.14350000023841858],""max"":[0.1517999994456768,0.14350000023841855,0.14350000023841858]}","[0.06690000210702418,-2.7755575615628914e-17,0]","[-0.7534742000317494,0.1431228735528942,0.6417105834817419]"
C13,C13_Primary_Guideway,Primary Guideway Assembly,2,C01,Linear Motion,3,4246582,#43764,#43320,SA0138_ASM > 4246339_ASM_1 > 4246343 > 4246582,5,4124,"{""min"":[-0.5579999465942382,-0.9899999999287725,-0.8784000481414795],""max"":[1.3210000019073487,-0.23899997089385994,0.07294153618335725]}","[0.3815000276565552,-0.6144999854113162,-0.4027292559790612]","[-0.08270127919164655,-0.981635738284274,-0.17190629931201912]"
C14,C14_AF2_Linear_Rails,Primary Linear Rail Set,3,C13,Linear Motion,7,3505121,#33498,#33057,SA0138_ASM > 4246339_ASM_1 > 4246343 > 4246582 > 3505121,6,31040,"{""min"":[0.09500003337860141,-0.315,-0.7172000007450581],""max"":[1.2550000000000001,-0.2669999998807907,-0.27719999925494193]}","[0.6750000166893008,-0.2909999999403954,-0.4972]","[0.645754892014781,-0.5805370331282269,-0.4959610595658237]"
C15,C15_AF3_Linear_Rails,Secondary Linear Rail Set,3,C13,Linear Motion,14,3505121_AF3_ASM_1,#35051,#34610,SA0138_ASM > 4246339_ASM_1 > 4246343 > 4246582 > 3505121_AF3_ASM_1,6,31040,"{""min"":[0.09500003337860141,-0.5685363243999318,-0.23208077577580413],""max"":[1.2550000000000001,-0.32442766285779323,0.012027885766361462]}","[0.6750000166893008,-0.44648199362886254,-0.11002644500472133]","[0.5021077986100558,-0.7668266947668236,0.39983068762659063]"
C16,C16_Slide_Support,Slide Support Assembly,2,C01,Linear Motion,26,4217196,#106132,#105691,SA0138_ASM > 4246339_ASM_1 > 4246343 > 4217196,11,14764,"{""min"":[0.7004999916553498,-0.35200000953674315,-0.8121121525764463],""max"":[1.2455000083446504,0.4366384446620941,-0.14990663528442377]}","[0.9730000000000001,0.04231921756267548,-0.48100939393043507]","[0.9354000670760552,0.19002150894916886,-0.2981921203700601]"
C17,C17_THK_X_Guide_Set,X-Axis Linear Guide Set,3,C16,Linear Motion,34,044__07_THK_LINEAR_GUIDES_X_2,#79965,#79524,SA0138_ASM > 4246339_ASM_1 > 4246343 > 4217196 > 4217491 > 044__07_THK_LINEAR_GUIDES_X_2,10,15144,"{""min"":[0.8169999998509884,-0.229,-0.8109999856948853],""max"":[1.1290000001490115,-0.17400000000000002,-0.17100000000000004]}","[0.9729999999999999,-0.2015,-0.49099999284744267]","[0.9232839882583492,-0.2251151107763487,-0.3112392390523871]"
C18,C18_Secondary_Guides,Secondary Linear Guide Set,3,C16,Linear Motion,49,3491817,#83506,#83065,SA0138_ASM > 4246339_ASM_1 > 4246343 > 4217196 > 4217491 > 3491817,10,15144,"{""min"":[0.8169999998509885,-0.1594525791575524,-0.6346283411725218],""max"":[1.1290000001490117,0.3442902921654076,-0.1332896288436936]}","[0.9730000000000001,0.09241885650392759,-0.38395898500810766]","[0.9505022285044287,0.2803851572999572,-0.13390174447703534]"
C19,C19_4040070_Interface,Guideway Interface Assembly,2,C01,Technical Interface,71,4040070,#128693,#128252,SA0138_ASM > 4246339_ASM_1 > 4246343 > 4040070,5,5926,"{""min"":[-0.45899999141693115,-0.6071925903074944,-0.29323718215805944],""max"":[0.014000000432133675,0.15249058788697578,0.16284668496376198]}","[-0.22249999549239874,-0.2273510012102593,-0.06519524859714873]","[-0.9135392262589883,-0.22326170594202702,0.3400004305085285]"
