id,type,componentId,title,category,confidence,anchor,evidence,overview,function,relationships,inspection,safety
step:29c3b129bf9b56941eb817b159c7a39575ce181d3c664d00a798266909a17212:generated:component-label:#487263,component-label,C01,VMC855 Vertical Machining Center,Machine Assembly,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-1.208532691001892,1.3573330640792847,0.18385273218154907],""direction"":[-0.9658799404937048,0.246809367712361,0.0784925255123182],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node VMC855 C2312035-1 at occurrence path VMC855 C2312035-1"",""publisher"":""Supplied VMC855 AP203 assembly and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]","VMC855 Vertical Machining Center is the complete learner-facing boundary represented by the supplied assembly, grouping its structural, guarding, control, electrical, and coolant systems.",It gives learners a whole-machine reference before they open the major systems and named subassemblies; the model does not establish ratings or operating limits.,"It contains the Machine Core Assembly and the separately modeled enclosure, operator, electrical, spindle-cover, piping, support, coolant-tank, and chip-conveyor groups.","Start with the assembled view to identify the operator side, access doors, service enclosures, moving-work region, and surrounding clearance before examining individual systems.","Treat the displayed model as orientation material only. Follow installed guards, approved operating instructions, site authorization, and energy-isolation procedures before approaching or servicing the real machine."
step:29c3b129bf9b56941eb817b159c7a39575ce181d3c664d00a798266909a17212:generated:component-label:#1190742,component-label,C02,Machine Core Assembly,Machine Structure,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-1.8285326957702637,1.1440110206604004,0.1481897532939911],""direction"":[-0.9823018682339915,-0.18723231974375792,0.005205584249751933],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node 855A装配图 at occurrence path VMC855 C2312035-1 > 855A装配图"",""publisher"":""Supplied VMC855 AP203 assembly and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Machine Core Assembly is a visible named assembly in the supplied VMC855 machine model. It provides a clear reference for learning the machine physical organization and nearby interfaces.,"Its name and placement identify a practical machine grouping, but this supplied assembly does not establish operating ratings, hidden mechanisms, or manufacturer identity.","Machine Core Assembly sits within VMC855 Vertical Machining Center. Its shown panels, brackets, fittings, and fasteners remain associated with the assembly unless another named group is selected.","From an authorized position, examine the machine core assembly for secure panels, clear interfaces, visible damage, trapped chips or fluid, and clearance from adjacent parts. Record unusual conditions before use.","Keep clear of moving members and do not open, remove, or service this assembly during operation. Follow site isolation procedures and installed machine instructions before any intervention."
step:29c3b129bf9b56941eb817b159c7a39575ce181d3c664d00a798266909a17212:generated:component-label:#1190743,component-label,C03,Left Enclosure Group,Machine Guarding,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.747999994084239,-0.07541128247976303,-0.21250000596046448],""direction"":[0.5279210737175496,-0.7291247513371091,0.4355185838888028],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node VMC855A-01-00    左防护 at occurrence path VMC855 C2312035-1 > VMC855A-01-00    左防护"",""publisher"":""Supplied VMC855 AP203 assembly and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Left Enclosure Group is a visible named assembly in the supplied VMC855 machine model. It provides a clear reference for learning the machine physical organization and nearby interfaces.,"Its name and placement identify a practical machine grouping, but this supplied assembly does not establish operating ratings, hidden mechanisms, or manufacturer identity.","Left Enclosure Group sits within VMC855 Vertical Machining Center. Its shown panels, brackets, fittings, and fasteners remain associated with the assembly unless another named group is selected.","From an authorized position, examine the left enclosure group for secure panels, clear interfaces, visible damage, trapped chips or fluid, and clearance from adjacent parts. Record unusual conditions before use.","Keep clear of moving members and do not open, remove, or service this assembly during operation. Follow site isolation procedures and installed machine instructions before any intervention."
step:29c3b129bf9b56941eb817b159c7a39575ce181d3c664d00a798266909a17212:generated:component-label:#1190744,component-label,C04,Left Side Door,Machine Guarding,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0,-0.0040000081062316895,-0.0020000000949949026],""direction"":[-0.38423224570135556,-0.2444113442007057,-0.8902969595529894],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node VMC855A-02-07-00   侧门 at occurrence path VMC855 C2312035-1 > VMC855A-02-07-00   侧门"",""publisher"":""Supplied VMC855 AP203 assembly and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Left Side Door is a visible named assembly in the supplied VMC855 machine model. It provides a clear reference for learning the machine physical organization and nearby interfaces.,"Its name and placement identify a practical machine grouping, but this supplied assembly does not establish operating ratings, hidden mechanisms, or manufacturer identity.","Left Side Door sits within VMC855 Vertical Machining Center. Its shown panels, brackets, fittings, and fasteners remain associated with the assembly unless another named group is selected.","From an authorized position, examine the left side door for secure panels, clear interfaces, visible damage, trapped chips or fluid, and clearance from adjacent parts. Record unusual conditions before use.","Keep clear of moving members and do not open, remove, or service this assembly during operation. Follow site isolation procedures and installed machine instructions before any intervention."
step:29c3b129bf9b56941eb817b159c7a39575ce181d3c664d00a798266909a17212:generated:component-label:#1190745,component-label,C05,Right Enclosure Group,Machine Guarding,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.7504999935626984,0.8132943697273731,-0.07490000128746033],""direction"":[0.1581665657983126,-0.21460968167723524,-0.9638080835902777],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node VMC855A-02-00    右防护 at occurrence path VMC855 C2312035-1 > VMC855A-02-00    右防护"",""publisher"":""Supplied VMC855 AP203 assembly and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Right Enclosure Group is a visible named assembly in the supplied VMC855 machine model. It provides a clear reference for learning the machine physical organization and nearby interfaces.,"Its name and placement identify a practical machine grouping, but this supplied assembly does not establish operating ratings, hidden mechanisms, or manufacturer identity.","Right Enclosure Group sits within VMC855 Vertical Machining Center. Its shown panels, brackets, fittings, and fasteners remain associated with the assembly unless another named group is selected.","From an authorized position, examine the right enclosure group for secure panels, clear interfaces, visible damage, trapped chips or fluid, and clearance from adjacent parts. Record unusual conditions before use.","Keep clear of moving members and do not open, remove, or service this assembly during operation. Follow site isolation procedures and installed machine instructions before any intervention."
step:29c3b129bf9b56941eb817b159c7a39575ce181d3c664d00a798266909a17212:generated:component-label:#1190746,component-label,C06,Right Side Door,Machine Guarding,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0,-0.0040000081062316895,-0.0020000000949949026],""direction"":[0.18463784371015268,-0.11744871513698399,-0.9757636322300277],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node VMC855A-02-07-00   侧门-1 at occurrence path VMC855 C2312035-1 > VMC855A-02-07-00   侧门-1"",""publisher"":""Supplied VMC855 AP203 assembly and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Right Side Door is a visible named assembly in the supplied VMC855 machine model. It provides a clear reference for learning the machine physical organization and nearby interfaces.,"Its name and placement identify a practical machine grouping, but this supplied assembly does not establish operating ratings, hidden mechanisms, or manufacturer identity.","Right Side Door sits within VMC855 Vertical Machining Center. Its shown panels, brackets, fittings, and fasteners remain associated with the assembly unless another named group is selected.","From an authorized position, examine the right side door for secure panels, clear interfaces, visible damage, trapped chips or fluid, and clearance from adjacent parts. Record unusual conditions before use.","Keep clear of moving members and do not open, remove, or service this assembly during operation. Follow site isolation procedures and installed machine instructions before any intervention."
step:29c3b129bf9b56941eb817b159c7a39575ce181d3c664d00a798266909a17212:generated:component-label:#1190747,component-label,C07,Overhead Enclosure Beam,Machine Guarding,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.02500000223517418,0.02500000037252903,0],""direction"":[0.4668519033239303,0.6833269023755699,-0.5613498417677092],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node VMC855A-02-03-00   横梁 at occurrence path VMC855 C2312035-1 > VMC855A-02-03-00   横梁"",""publisher"":""Supplied VMC855 AP203 assembly and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Overhead Enclosure Beam is a visible named assembly in the supplied VMC855 machine model. It provides a clear reference for learning the machine physical organization and nearby interfaces.,"Its name and placement identify a practical machine grouping, but this supplied assembly does not establish operating ratings, hidden mechanisms, or manufacturer identity.","Overhead Enclosure Beam sits within VMC855 Vertical Machining Center. Its shown panels, brackets, fittings, and fasteners remain associated with the assembly unless another named group is selected.","From an authorized position, examine the overhead enclosure beam for secure panels, clear interfaces, visible damage, trapped chips or fluid, and clearance from adjacent parts. Record unusual conditions before use.","Keep clear of moving members and do not open, remove, or service this assembly during operation. Follow site isolation procedures and installed machine instructions before any intervention."
step:29c3b129bf9b56941eb817b159c7a39575ce181d3c664d00a798266909a17212:generated:component-label:#1190748,component-label,C08,Tool-Magazine Enclosure,Tool-Changing System,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.08483871817588806,0.1761319786310196,-0.1685000043362379],""direction"":[-0.021871729367900543,0.9096591028090535,0.4147793921243982],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node VMC855A-02-04-00 刀库 at occurrence path VMC855 C2312035-1 > VMC855A-02-04-00 刀库"",""publisher"":""Supplied VMC855 AP203 assembly and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Tool-Magazine Enclosure is a visible named assembly in the supplied VMC855 machine model. It provides a clear reference for learning the machine physical organization and nearby interfaces.,"Its name and placement identify a practical machine grouping, but this supplied assembly does not establish operating ratings, hidden mechanisms, or manufacturer identity.","Tool-Magazine Enclosure sits within VMC855 Vertical Machining Center. Its shown panels, brackets, fittings, and fasteners remain associated with the assembly unless another named group is selected.","From an authorized position, examine the tool-magazine enclosure for secure panels, clear interfaces, visible damage, trapped chips or fluid, and clearance from adjacent parts. Record unusual conditions before use.","Keep clear of moving members and do not open, remove, or service this assembly during operation. Follow site isolation procedures and installed machine instructions before any intervention."
step:29c3b129bf9b56941eb817b159c7a39575ce181d3c664d00a798266909a17212:generated:component-label:#1190749,component-label,C09,Operator Control Console,Machine Controls,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.6388984322547913,0.3848733678460121,0.3799801617860794],""direction"":[0.7770216173496837,-0.004241819346414856,0.6294596199438962],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node VMC855A-02-10-00   操作箱 at occurrence path VMC855 C2312035-1 > VMC855A-02-10-00   操作箱"",""publisher"":""Supplied VMC855 AP203 assembly and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Operator Control Console is a visible named assembly in the supplied VMC855 machine model. It provides a clear reference for learning the machine physical organization and nearby interfaces.,"Its name and placement identify a practical machine grouping, but this supplied assembly does not establish operating ratings, hidden mechanisms, or manufacturer identity.","Operator Control Console sits within VMC855 Vertical Machining Center. Its shown panels, brackets, fittings, and fasteners remain associated with the assembly unless another named group is selected.","From an authorized position, examine the operator control console for secure panels, clear interfaces, visible damage, trapped chips or fluid, and clearance from adjacent parts. Record unusual conditions before use.","Keep clear of moving members and do not open, remove, or service this assembly during operation. Follow site isolation procedures and installed machine instructions before any intervention."
step:29c3b129bf9b56941eb817b159c7a39575ce181d3c664d00a798266909a17212:generated:component-label:#1190750,component-label,C10,Left Sliding Door,Machine Guarding,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.03700000047683716,-0.6599999768659472,0.005500003695487976],""direction"":[-0.8938498726088348,-0.030080249957468393,-0.44735621578297796],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node VMC855A-02-06-00   左推拉门 at occurrence path VMC855 C2312035-1 > VMC855A-02-06-00   左推拉门"",""publisher"":""Supplied VMC855 AP203 assembly and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Left Sliding Door is a visible named assembly in the supplied VMC855 machine model. It provides a clear reference for learning the machine physical organization and nearby interfaces.,"Its name and placement identify a practical machine grouping, but this supplied assembly does not establish operating ratings, hidden mechanisms, or manufacturer identity.","Left Sliding Door sits within VMC855 Vertical Machining Center. Its shown panels, brackets, fittings, and fasteners remain associated with the assembly unless another named group is selected.","From an authorized position, examine the left sliding door for secure panels, clear interfaces, visible damage, trapped chips or fluid, and clearance from adjacent parts. Record unusual conditions before use.","Keep clear of moving members and do not open, remove, or service this assembly during operation. Follow site isolation procedures and installed machine instructions before any intervention."
