id,type,componentId,title,category,confidence,anchor,evidence,overview,function,relationships,inspection,safety
step:d127b6060251d9b665b6942a166a3e3881ab17d4297ed76ca978738fb77a278f:generated:component-label:#69027,component-label,C01,Waterjet Cutting System Layout,Complete Installation,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-2.8563424182361783,1.8159881830215447,8.710932133483887],""direction"":[0,0,1],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node WATERJET FULL LAYOUT at occurrence path WATERJET FULL LAYOUT"",""publisher"":""Supplied WATERJET FULL LAYOUT STEP assembly"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Waterjet Cutting System Layout is a distinct named assembly or part in the supplied waterjet layout. It is presented at a level that supports learning without separating ordinary fasteners or repeated minor hardware.,This component performs the role indicated by its name within the complete waterjet cutting and pressure-generation layout.,"It contains the access platform, cutting table, three pump units, splash-curtain system, and drain hose as the seven major installation systems.","Inspect the waterjet cutting system layout for visible damage, leakage, loose attachment, contamination, and interference with neighboring equipment.","Use the real equipment only under the site's approved operating, access, and energy-isolation procedures; this visual model does not replace manufacturer instructions or load ratings."
step:d127b6060251d9b665b6942a166a3e3881ab17d4297ed76ca978738fb77a278f:generated:component-label:#1387,component-label,C02,Step Platform,Access and Support,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-4.5796701585585055e-18,0.22224999964237213,3.505199909210205],""direction"":[-1,0,0],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node STEP PLATFORM:1 at occurrence path WATERJET FULL LAYOUT > STEP PLATFORM:1"",""publisher"":""Supplied WATERJET FULL LAYOUT STEP assembly"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Step Platform is a distinct named assembly or part in the supplied waterjet layout. It is presented at a level that supports learning without separating ordinary fasteners or repeated minor hardware.,The platform provides a raised access and standing surface beside the equipment; the model does not establish its certified load rating.,"It sits beside the cutting table, pumps, splash curtain, and drain routing in the complete installation layout.","Inspect the step platform for loose or damaged sections, slippery contamination, corrosion, trip hazards, and clear access around its edges.","Use the real equipment only under the site's approved operating, access, and energy-isolation procedures; this visual model does not replace manufacturer instructions or load ratings."
step:d127b6060251d9b665b6942a166a3e3881ab17d4297ed76ca978738fb77a278f:generated:component-label:#1388,component-label,C03,Waterjet Cutting Table,Cutting System,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.2992437481880188,1.8604784458875656,3.6825318336486816],""direction"":[0,0,1],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node WATERJET ASSY:1 at occurrence path WATERJET FULL LAYOUT > WATERJET ASSY:1"",""publisher"":""Supplied WATERJET FULL LAYOUT STEP assembly"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Waterjet Cutting Table is a distinct named assembly or part in the supplied waterjet layout. It is presented at a level that supports learning without separating ordinary fasteners or repeated minor hardware.,"The table supports the work area and collects the water, abrasive, and cut material below the repeated support slats.","It contains the catcher tank, twin gantries, repeated work-support slats, axis tubes, cutting heads, hoppers, and overflow connections.","Inspect the cutting table for damaged or missing slats, accumulated debris, tank damage, obstructed drains, and clear gantry travel paths.","Keep clear of the cutting stream, moving structure, pinch points, and the guarded work area. Apply the approved stop and energy-isolation procedure before entry, cleaning, adjustment, or service."
step:d127b6060251d9b665b6942a166a3e3881ab17d4297ed76ca978738fb77a278f:generated:component-label:#1389,component-label,C04,High-Pressure Pump 1,Pressure Generation,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-1.887379141862766e-15,-0.381000012159347,0.4762499928474426],""direction"":[0.7071067811865472,-0.7071067811865478,-3.9252311467094363e-16],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node PUMP:1 at occurrence path WATERJET FULL LAYOUT > PUMP:1"",""publisher"":""Supplied WATERJET FULL LAYOUT STEP assembly"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",High-Pressure Pump 1 is a distinct named assembly or part in the supplied waterjet layout. It is presented at a level that supports learning without separating ordinary fasteners or repeated minor hardware.,This pump unit supplies the pressure-generation hardware represented by its housing and wet-end assembly for the waterjet system.,It contains Pump 1's housing and detailed EnduroMAX wet end and sits beside the other two pump units.,"Inspect High-Pressure Pump 1 from outside its service boundary for leaks, unusual residue, damaged panels, loose lines, or blocked ventilation and access.","High-pressure water systems can retain lethal stored energy. Stop, isolate, depressurize, verify zero pressure, and follow the approved service procedure before opening or touching pressure-side hardware."
step:d127b6060251d9b665b6942a166a3e3881ab17d4297ed76ca978738fb77a278f:generated:component-label:#1390,component-label,C05,High-Pressure Pump 2,Pressure Generation,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-2.7755575615628914e-16,-0.43179999017715465,0.48894999984651794],""direction"":[-3.3306690738754706e-16,-1,3.697785493223495e-32],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node PUMP:2 at occurrence path WATERJET FULL LAYOUT > PUMP:2"",""publisher"":""Supplied WATERJET FULL LAYOUT STEP assembly"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",High-Pressure Pump 2 is a distinct named assembly or part in the supplied waterjet layout. It is presented at a level that supports learning without separating ordinary fasteners or repeated minor hardware.,This pump unit supplies the pressure-generation hardware represented by its housing and wet-end assembly for the waterjet system.,"It contains Pump 2's housing, separate top cover, and EnduroMAX wet end within the shared pressure-generation area.","Inspect High-Pressure Pump 2 from outside its service boundary for leaks, unusual residue, damaged panels, loose lines, or blocked ventilation and access.","High-pressure water systems can retain lethal stored energy. Stop, isolate, depressurize, verify zero pressure, and follow the approved service procedure before opening or touching pressure-side hardware."
step:d127b6060251d9b665b6942a166a3e3881ab17d4297ed76ca978738fb77a278f:generated:component-label:#1391,component-label,C06,High-Pressure Pump 3,Pressure Generation,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.7874000072479259,8.881784197001252e-16,0.4762499928474426],""direction"":[-0.7071067811865478,-0.7071067811865472,7.85046229341888e-17],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node PUMP:3 at occurrence path WATERJET FULL LAYOUT > PUMP:3"",""publisher"":""Supplied WATERJET FULL LAYOUT STEP assembly"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",High-Pressure Pump 3 is a distinct named assembly or part in the supplied waterjet layout. It is presented at a level that supports learning without separating ordinary fasteners or repeated minor hardware.,This pump unit supplies the pressure-generation hardware represented by its housing and wet-end assembly for the waterjet system.,It contains Pump 3's housing and EnduroMAX wet end and is the third pressure unit shown in the layout.,"Inspect High-Pressure Pump 3 from outside its service boundary for leaks, unusual residue, damaged panels, loose lines, or blocked ventilation and access.","High-pressure water systems can retain lethal stored energy. Stop, isolate, depressurize, verify zero pressure, and follow the approved service procedure before opening or touching pressure-side hardware."
step:d127b6060251d9b665b6942a166a3e3881ab17d4297ed76ca978738fb77a278f:generated:component-label:#1392,component-label,C07,Splash Curtain System,Splash Containment,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[3.149600114059449,1.5748000144958496,-0.03889294688701561],""direction"":[0.7071067811865475,0,0.7071067811865475],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node SPLASH-CURTAIN:1 at occurrence path WATERJET FULL LAYOUT > SPLASH-CURTAIN:1"",""publisher"":""Supplied WATERJET FULL LAYOUT STEP assembly"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Splash Curtain System is a distinct named assembly or part in the supplied waterjet layout. It is presented at a level that supports learning without separating ordinary fasteners or repeated minor hardware.,This guarding element helps contain splash and debris around the cutting area while preserving the required machine clearance.,It combines the main splash curtain with the grouped Y-axis curtain and supporting guard post around the cutting area.,"Inspect the splash curtain system for tears, gaps, damaged supports, loose fasteners, and adequate coverage of the nearby cutting area.",Never treat a curtain as complete protection from a live waterjet. Keep the containment system correctly installed and isolate the machine before entering or servicing the guarded area.
step:d127b6060251d9b665b6942a166a3e3881ab17d4297ed76ca978738fb77a278f:generated:component-label:#1393,component-label,C08,Waterjet Drain Hose,Drainage,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-1.4057393604889512,-0.3620994435623288,-6.357466220855713],""direction"":[0,0,-1],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node WATERJET DRAIN HOSE:1 at occurrence path WATERJET FULL LAYOUT > WATERJET DRAIN HOSE:1"",""publisher"":""Supplied WATERJET FULL LAYOUT STEP assembly"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Waterjet Drain Hose is a distinct named assembly or part in the supplied waterjet layout. It is presented at a level that supports learning without separating ordinary fasteners or repeated minor hardware.,This component provides a visible drainage path for liquid leaving the catcher-tank and containment area.,It runs from the cutting-table drainage region toward the edge of the overall installation layout.,"Inspect the waterjet drain hose for kinks, blockage, leakage, abrasion, loose supports, and a clear path to the intended drain point.","Do not clear or disconnect drainage while the machine can discharge water or abrasive. Isolate the system, control spills, and use the required protective equipment before service."
step:d127b6060251d9b665b6942a166a3e3881ab17d4297ed76ca978738fb77a278f:generated:component-label:#1161,component-label,C09,Catcher Tank,Cutting System,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.31043344736099243,-0.222883939743042,0],""direction"":[0,-2.220446049250313e-16,-1],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node WATERJET CATCHER TANK:1 at occurrence path WATERJET FULL LAYOUT > WATERJET ASSY:1 > WATERJET CATCHER TANK:1"",""publisher"":""Supplied WATERJET FULL LAYOUT STEP assembly"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Catcher Tank is a distinct named assembly or part in the supplied waterjet layout. It is presented at a level that supports learning without separating ordinary fasteners or repeated minor hardware.,The tank receives the waterjet stream and cutting discharge below the work-support slats and provides the main collection volume.,"It sits below the slat bed and between the gantry structures, with overflow parts connected at the table assembly.","Inspect the catcher tank for leakage, corrosion, excessive accumulated material, damaged slat supports, and blocked overflow connections.","Keep clear of the cutting stream, moving structure, pinch points, and the guarded work area. Apply the approved stop and energy-isolation procedure before entry, cleaning, adjustment, or service."
step:d127b6060251d9b665b6942a166a3e3881ab17d4297ed76ca978738fb77a278f:generated:component-label:#1162,component-label,C10,Primary Gantry,Motion Structure,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-1.6241329908370972,1.6537337452173233,-0.03810000419616699],""direction"":[-0.7071067811865475,3.046633688991108e-65,0.7071067811865475],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""source-cad"",""title"":""Source CAD node GANTRY-1:1 at occurrence path WATERJET FULL LAYOUT > WATERJET ASSY:1 > GANTRY-1:1"",""publisher"":""Supplied WATERJET FULL LAYOUT STEP assembly"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""safety"",""title""]}]",Primary Gantry is a distinct named assembly or part in the supplied waterjet layout. It is presented at a level that supports learning without separating ordinary fasteners or repeated minor hardware.,The gantry carries its bridge-mounted cutting equipment across the working area as part of the machine's positioning structure.,"It carries the primary bridge, cutting head, abrasive hopper, and associated bridge tubes across the cutting table.","Inspect the primary gantry for damage, debris, loose covers or tubes, and anything that could obstruct its intended travel envelope.","Keep clear of the cutting stream, moving structure, pinch points, and the guarded work area. Apply the approved stop and energy-isolation procedure before entry, cleaning, adjustment, or service."
