componentId,eonShortName,title,level,parentId,category,sourceNodeIndex,sourceNodeName,sourceOccurrenceId,sourceProductId,sourcePath,absorbedGeometryNodeCount,triangles,bounds,center,outwardDirection
C01,WaterjetFullLayout,Waterjet Cutting System Layout,1,,Complete Installation,0,WATERJET FULL LAYOUT,,#69027,WATERJET FULL LAYOUT,0,0,"{""min"":[-5.812851686371648,-1.1477263612769063e-15,-6.357466220855713],""max"":[0.10016684989929114,3.6319763581131834,8.710932133483887]}","[-2.8563424182361783,1.815988179056591,1.176732956314087]","[0,0,1]"
C02,StepPlatform,Step Platform,2,C01,Access and Support,1,STEP PLATFORM:1,#1387,#69028,WATERJET FULL LAYOUT > STEP PLATFORM:1,0,116,"{""min"":[-0.2921000123023987,0,1.8157958958653353e-7],""max"":[4.5796701585585055e-18,0.44449999928474426,7.0104]}","[-0.14605000615119934,0.22224999964237213,3.5052000907897947]","[1,0,0]"
C03,CuttingTableAssembly,Waterjet Cutting Table,2,C01,Cutting System,2,WATERJET ASSY:1,#1388,#69029,WATERJET FULL LAYOUT > WATERJET ASSY:1,154,95984,"{""min"":[-3.6449000004708765,0.08898052890354258,-0.22845863369810027],""max"":[-0.78898746509552,3.6319763581131834,7.670331755361163]}","[-2.2169437327831982,1.860478443508363,3.7209365608315315]","[0,0,1]"
C04,HighPressurePump1,High-Pressure Pump 1,2,C01,Pressure Generation,176,PUMP:1,#1389,#69049,WATERJET FULL LAYOUT > PUMP:1,0,0,"{""min"":[-4.889500012159322,3.4608630019103176e-15,5.765799992752099],""max"":[-4.1274999878406256,0.9524999856948902,7.340600007247949]}","[-4.508499999999974,0.47624999284744685,6.5532000000000235]","[-0.7071067811865475,0,0.7071067811865475]"
C05,HighPressurePump2,High-Pressure Pump 2,2,C01,Pressure Generation,284,PUMP:2,#1390,#69050,WATERJET FULL LAYOUT > PUMP:2,0,0,"{""min"":[-4.94029999017713,1.989693792382315e-16,2.99720002689364],""max"":[-4.02590000122783,0.9778999996930368,4.67359997310641]}","[-4.48309999570248,0.4889499998465185,3.835400000000025]","[-1,0,0]"
C06,HighPressurePump3,High-Pressure Pump 3,2,C01,Pressure Generation,393,PUMP:3,#1391,#69052,WATERJET FULL LAYOUT > PUMP:3,0,0,"{""min"":[-4.889500012159322,1.4926142635506762e-16,0.5333999927521139],""max"":[-4.1274999878406256,0.9524999856948863,2.1082000072479645]}","[-4.508499999999974,0.4762499928474432,1.3208000000000393]","[-0.7071067811865475,0,-0.7071067811865475]"
C07,SplashCurtainSystem,Splash Curtain System,2,C01,Splash Containment,501,SPLASH-CURTAIN:1,#1392,#69083,WATERJET FULL LAYOUT > SPLASH-CURTAIN:1,0,0,"{""min"":[-4.079874994468689,0,-0.40798599702715843],""max"":[-0.7492998859405517,3.149600028991699,7.188200096130373]}","[-2.4145874402046203,1.5748000144958496,3.3901070495516072]","[0.7071067811865475,0,0.7071067811865475]"
C08,WaterjetDrainHose,Waterjet Drain Hose,2,C01,Drainage,510,WATERJET DRAIN HOSE:1,#1393,#69092,WATERJET FULL LAYOUT > WATERJET DRAIN HOSE:1,0,2456,"{""min"":[-5.812851686371648,0.19147906284332294,-6.357466220855713],""max"":[-2.953112965790712,0.9639220500320196,2.9550727530484863e-18]}","[-4.38298232608118,0.5777005564376713,-3.1787331104278564]","[0,0,-1]"
C09,CatcherTank,Catcher Tank,3,C03,Cutting System,3,WATERJET CATCHER TANK:1,#1161,#69030,WATERJET FULL LAYOUT > WATERJET ASSY:1 > WATERJET CATCHER TANK:1,0,4616,"{""min"":[-3.314699955177306,-1.1477263612769063e-15,-1.1811000129699698],""max"":[0.10016684989929114,1.9177000522613532,8.710932133483887]}","[-1.6072665526390075,0.958850026130676,3.7649160602569585]","[0,-1,0]"
C10,PrimaryGantry,Primary Gantry,3,C03,Motion Structure,4,GANTRY-1:1,#1162,#69031,WATERJET FULL LAYOUT > WATERJET ASSY:1 > GANTRY-1:1,3,6764,"{""min"":[-3.5418329881274806,0.48260000348091125,6.215235373116642],""max"":[-0.25876254577636715,2.824867500029912,6.675610375345856]}","[-1.9002977669519239,1.6537337517554116,6.44542287423125]","[-0.7071067811865475,0,0.7071067811865475]"
